trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-05-17,SMD-0136,LICI,NSE:LICI-EQ,436.0,459.48,430.0,437.63,97585754,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-05-18,SMD-0136,LICI,NSE:LICI-EQ,442.78,445.5,437.05,438.18,17839522,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-05-19,SMD-0136,LICI,NSE:LICI-EQ,433.5,433.5,419.0,420.43,14744854,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-05-20,SMD-0136,LICI,NSE:LICI-EQ,424.28,428.4,412.5,413.08,14156582,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-05-23,SMD-0136,LICI,NSE:LICI-EQ,413.08,426.35,401.83,408.43,24889296,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-05-24,SMD-0136,LICI,NSE:LICI-EQ,409.0,417.35,408.43,411.55,8575728,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-05-25,SMD-0136,LICI,NSE:LICI-EQ,415.75,420.73,407.13,410.15,8026062,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-05-26,SMD-0136,LICI,NSE:LICI-EQ,410.15,412.4,400.5,405.83,5592936,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-05-27,SMD-0136,LICI,NSE:LICI-EQ,409.28,412.33,407.18,410.8,4431614,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-05-30,SMD-0136,LICI,NSE:LICI-EQ,414.95,420.7,412.65,418.88,6267434,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-05-31,SMD-0136,LICI,NSE:LICI-EQ,405.0,411.0,405.0,405.65,8746180,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-01,SMD-0136,LICI,NSE:LICI-EQ,405.7,408.73,404.25,405.2,3340062,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-02,SMD-0136,LICI,NSE:LICI-EQ,404.98,406.9,402.0,402.85,3131526,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-03,SMD-0136,LICI,NSE:LICI-EQ,404.33,405.38,400.0,400.13,4105570,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-06,SMD-0136,LICI,NSE:LICI-EQ,400.13,400.85,387.55,388.68,6067028,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-07,SMD-0136,LICI,NSE:LICI-EQ,386.45,386.45,375.9,376.5,7549024,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-08,SMD-0136,LICI,NSE:LICI-EQ,376.45,376.45,368.05,369.03,8206998,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-09,SMD-0136,LICI,NSE:LICI-EQ,364.95,368.0,360.05,360.85,7458226,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-10,SMD-0136,LICI,NSE:LICI-EQ,356.5,359.88,354.03,354.85,6928356,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-13,SMD-0136,LICI,NSE:LICI-EQ,345.45,345.45,333.5,334.13,15563460,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-14,SMD-0136,LICI,NSE:LICI-EQ,332.05,342.0,331.5,337.15,10697538,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-15,SMD-0136,LICI,NSE:LICI-EQ,340.5,354.85,339.55,345.08,18408636,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-16,SMD-0136,LICI,NSE:LICI-EQ,351.73,353.0,333.5,334.68,8099564,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-17,SMD-0136,LICI,NSE:LICI-EQ,334.55,334.68,325.5,327.27,8086000,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-20,SMD-0136,LICI,NSE:LICI-EQ,330.23,333.35,325.0,330.7,7045102,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-21,SMD-0136,LICI,NSE:LICI-EQ,333.5,335.7,331.5,332.6,4710708,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-22,SMD-0136,LICI,NSE:LICI-EQ,333.0,342.45,332.05,334.3,6945620,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-23,SMD-0136,LICI,NSE:LICI-EQ,335.1,337.35,329.3,332.58,3597958,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-24,SMD-0136,LICI,NSE:LICI-EQ,334.65,336.78,329.55,330.83,3486800,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-27,SMD-0136,LICI,NSE:LICI-EQ,335.0,335.0,330.85,332.4,2811532,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-28,SMD-0136,LICI,NSE:LICI-EQ,331.63,332.4,329.5,331.68,2009494,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-29,SMD-0136,LICI,NSE:LICI-EQ,330.05,348.43,328.9,339.25,9306564,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-06-30,SMD-0136,LICI,NSE:LICI-EQ,339.25,341.85,335.5,336.95,3362824,FYERS_HISTORY,2026-08-08T23:26:05+05:30
2022-07-01,SMD-0136,LICI,NSE:LICI-EQ,337.5,339.98,334.5,338.33,2660944,FYERS_HISTORY,2026-08-08T23:26:05+05:30
