trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2004-03-26,SMD-0181,PETRONET,NSE:PETRONET-EQ,8.5,8.5,6.0,7.33,8009237,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-03-29,SMD-0181,PETRONET,NSE:PETRONET-EQ,7.38,7.48,7.25,7.33,2818030,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-03-30,SMD-0181,PETRONET,NSE:PETRONET-EQ,7.33,7.58,7.3,7.38,2303541,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-03-31,SMD-0181,PETRONET,NSE:PETRONET-EQ,7.38,7.5,7.33,7.35,1468678,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-01,SMD-0181,PETRONET,NSE:PETRONET-EQ,7.43,7.7,7.38,7.65,2315187,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-02,SMD-0181,PETRONET,NSE:PETRONET-EQ,7.75,8.63,7.65,8.5,9492672,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-05,SMD-0181,PETRONET,NSE:PETRONET-EQ,8.68,10.07,8.5,9.55,24465140,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-06,SMD-0181,PETRONET,NSE:PETRONET-EQ,9.75,10.35,9.48,9.88,16658523,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-07,SMD-0181,PETRONET,NSE:PETRONET-EQ,9.98,10.18,9.7,10.0,10288588,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-08,SMD-0181,PETRONET,NSE:PETRONET-EQ,10.05,10.05,9.7,9.85,6295258,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-12,SMD-0181,PETRONET,NSE:PETRONET-EQ,9.95,11.05,9.88,10.55,14316210,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-13,SMD-0181,PETRONET,NSE:PETRONET-EQ,10.7,10.73,10.07,10.4,6915813,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-15,SMD-0181,PETRONET,NSE:PETRONET-EQ,10.5,10.8,10.33,10.58,6377785,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-16,SMD-0181,PETRONET,NSE:PETRONET-EQ,10.63,11.08,10.5,10.95,7809578,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-17,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.0,12.58,11.0,12.4,10248982,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-19,SMD-0181,PETRONET,NSE:PETRONET-EQ,12.5,13.4,12.48,12.9,17619430,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-20,SMD-0181,PETRONET,NSE:PETRONET-EQ,12.98,13.2,12.2,12.43,10510013,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-21,SMD-0181,PETRONET,NSE:PETRONET-EQ,12.3,12.75,12.13,12.63,6701050,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-22,SMD-0181,PETRONET,NSE:PETRONET-EQ,12.68,12.73,12.38,12.48,4304774,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-23,SMD-0181,PETRONET,NSE:PETRONET-EQ,12.5,12.78,12.03,12.15,4903517,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-27,SMD-0181,PETRONET,NSE:PETRONET-EQ,12.18,12.23,10.53,11.08,5610593,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-28,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.0,11.68,10.78,11.53,6789811,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-29,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.5,12.03,11.5,11.78,5193014,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-04-30,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.6,12.03,11.5,11.58,4409568,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-03,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.58,11.63,10.85,11.15,4484039,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-04,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.25,11.8,11.25,11.65,3329576,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-05,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.8,11.93,11.6,11.83,2990342,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-06,SMD-0181,PETRONET,NSE:PETRONET-EQ,12.25,12.33,12.0,12.15,3177458,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-07,SMD-0181,PETRONET,NSE:PETRONET-EQ,12.35,12.35,11.78,12.03,3770540,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-10,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.8,12.0,11.25,11.95,2662576,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-11,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.63,11.73,11.25,11.3,2716184,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-12,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.5,11.75,11.08,11.6,4266948,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-13,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.28,12.1,10.68,11.6,5205197,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-14,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.75,11.75,10.28,10.55,4912832,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-17,SMD-0181,PETRONET,NSE:PETRONET-EQ,10.25,10.3,8.45,10.05,4935040,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-18,SMD-0181,PETRONET,NSE:PETRONET-EQ,10.0,11.05,9.65,10.93,3462532,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-19,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.08,11.85,11.08,11.78,4808813,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-20,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.88,13.25,11.75,11.8,3112188,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-21,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.75,12.28,11.25,11.83,4561402,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-24,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.98,12.13,11.8,11.83,1818712,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-25,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.75,11.98,10.58,11.85,1791367,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-26,SMD-0181,PETRONET,NSE:PETRONET-EQ,12.0,12.1,11.8,11.8,1129637,FYERS_HISTORY,2026-08-08T23:47:13+05:30
2004-05-27,SMD-0181,PETRONET,NSE:PETRONET-EQ,11.8,12.1,11.8,11.8,2371097,FYERS_HISTORY,2026-08-08T23:47:13+05:30
