trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2010-04-06,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,90.4,111.83,90.4,101.59,29890642,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-07,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,102.0,102.63,98.19,100.64,7656100,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-08,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,100.0,107.98,99.58,103.58,16736458,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-09,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,103.75,104.97,102.08,102.65,3160216,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-12,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,102.95,103.82,98.9,100.34,1546928,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-13,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,100.0,102.48,99.25,100.05,1673172,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-15,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,101.0,102.2,98.9,99.49,1256608,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-16,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,99.48,101.0,98.75,100.03,791808,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-19,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,99.25,99.97,96.25,97.73,684288,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-20,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,98.0,99.2,96.25,98.18,364116,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-21,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,98.5,103.22,98.39,100.67,1821970,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-22,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,100.0,102.35,99.53,100.28,750496,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-23,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,100.4,101.98,98.33,99.09,488752,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-26,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,100.53,102.75,99.75,100.49,864868,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-27,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,100.75,100.95,98.2,98.63,365768,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-28,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,101.38,102.5,95.64,96.24,242528,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-29,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,96.75,100.38,96.75,99.24,447320,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-04-30,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,99.5,101.48,99.0,99.67,475910,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-03,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,98.7,100.65,98.7,99.89,441704,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-04,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,99.75,101.12,98.0,98.29,347874,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-05,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,97.25,99.65,90.05,99.12,274078,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-06,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,99.48,99.75,96.07,96.62,200326,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-07,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,95.75,96.23,93.75,94.04,190912,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-10,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,96.25,97.25,94.99,96.82,135854,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-11,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,97.23,97.23,95.25,95.58,109142,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-12,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,95.5,96.25,94.34,94.97,168864,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-13,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,95.07,96.75,94.5,95.4,127534,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-14,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,94.77,96.47,93.85,95.0,120790,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-17,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,94.25,95.19,93.78,94.58,97132,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-18,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,93.8,99.42,93.8,96.64,272212,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-19,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,96.25,97.63,94.25,94.52,208592,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-20,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,95.0,96.93,94.25,94.54,103062,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-21,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,93.78,95.88,91.3,94.97,128022,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-24,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,95.72,96.75,94.5,94.58,77542,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-25,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,93.28,96.2,91.25,91.72,293074,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-26,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,92.13,93.73,91.25,92.38,84496,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-27,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,92.82,93.38,91.89,92.7,102590,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-28,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,93.24,95.0,93.03,94.8,97224,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-05-31,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,94.63,97.24,94.0,96.7,75504,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-01,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,95.75,98.25,95.03,96.69,115420,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-02,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,96.98,97.55,94.73,97.14,90578,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-03,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,97.67,98.45,96.15,97.1,39566,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-04,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,97.29,98.55,95.88,98.15,89442,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-07,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,94.52,96.25,94.52,95.38,32608,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-08,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,95.25,96.75,92.5,95.45,70572,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-09,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,95.75,96.75,94.5,95.09,38654,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-10,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,95.57,95.95,94.75,95.13,22610,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-11,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,95.25,96.02,94.5,95.49,39572,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-14,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,95.87,96.05,94.63,95.25,34250,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-15,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,93.25,102.0,93.25,99.9,314850,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-16,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,100.38,103.0,98.05,101.95,396364,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-17,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,102.0,104.48,101.75,102.38,424138,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-18,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,102.19,103.13,98.75,98.9,139330,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-21,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,99.48,101.0,99.13,99.48,84366,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-22,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,99.47,100.22,98.0,99.32,53442,FYERS_HISTORY,2026-08-08T23:47:02+05:30
2010-06-23,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,98.0,102.22,97.25,101.15,195800,FYERS_HISTORY,2026-08-08T23:47:02+05:30
