trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2018-03-23,SMD-0034,BDL,NSE:BDL-EQ,185.0,201.35,181.0,194.9,7879318,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-03-26,SMD-0034,BDL,NSE:BDL-EQ,194.9,207.3,194.5,198.48,2348330,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-03-27,SMD-0034,BDL,NSE:BDL-EQ,200.13,204.4,199.75,202.78,1031072,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-03-28,SMD-0034,BDL,NSE:BDL-EQ,200.5,202.5,197.15,198.33,353908,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-02,SMD-0034,BDL,NSE:BDL-EQ,199.5,201.0,195.03,196.13,214862,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-03,SMD-0034,BDL,NSE:BDL-EQ,196.35,198.95,194.53,196.13,228450,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-04,SMD-0034,BDL,NSE:BDL-EQ,196.0,197.5,194.25,196.05,240096,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-05,SMD-0034,BDL,NSE:BDL-EQ,196.53,198.15,194.0,194.45,139336,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-06,SMD-0034,BDL,NSE:BDL-EQ,194.85,195.95,193.13,195.38,149948,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-09,SMD-0034,BDL,NSE:BDL-EQ,196.0,196.5,187.5,194.98,176604,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-10,SMD-0034,BDL,NSE:BDL-EQ,193.55,195.4,191.95,192.45,100110,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-11,SMD-0034,BDL,NSE:BDL-EQ,194.4,194.4,190.0,190.6,95608,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-12,SMD-0034,BDL,NSE:BDL-EQ,190.25,192.0,187.5,187.8,122028,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-13,SMD-0034,BDL,NSE:BDL-EQ,186.15,191.0,186.15,187.85,182670,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-16,SMD-0034,BDL,NSE:BDL-EQ,186.5,205.0,186.5,199.78,1103868,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-17,SMD-0034,BDL,NSE:BDL-EQ,201.35,208.9,200.2,202.58,920306,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-18,SMD-0034,BDL,NSE:BDL-EQ,203.93,204.83,200.53,202.35,258030,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-19,SMD-0034,BDL,NSE:BDL-EQ,204.25,210.95,203.18,207.5,915076,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-20,SMD-0034,BDL,NSE:BDL-EQ,207.95,209.5,205.5,207.8,440532,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-23,SMD-0034,BDL,NSE:BDL-EQ,207.9,210.5,203.25,204.05,302418,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-24,SMD-0034,BDL,NSE:BDL-EQ,204.08,205.9,202.45,204.3,149724,FYERS_HISTORY,2026-08-08T23:03:34+05:30
2018-04-25,SMD-0034,BDL,NSE:BDL-EQ,203.0,205.0,202.5,204.13,116550,FYERS_HISTORY,2026-08-08T23:03:34+05:30
