trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2020-01-27,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,64.18,64.18,62.36,62.53,13887057,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-28,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,62.64,63.0,61.47,61.78,22696907,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-29,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,62.13,63.4,62.09,62.93,8935257,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-30,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,62.82,63.24,61.02,61.73,16035164,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-01-31,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,62.0,62.36,58.29,59.42,61955481,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-01,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,58.67,59.16,56.78,57.0,16060593,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-03,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,56.89,57.89,55.22,55.62,26341272,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-04,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,56.33,60.18,55.89,59.58,30923324,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-05,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,60.0,60.78,58.18,60.16,18364176,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-06,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,60.31,61.78,60.02,60.82,24742827,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-07,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,60.89,61.13,58.67,58.8,16590671,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-10,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,58.67,60.42,53.93,55.44,94403316,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-11,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,56.0,56.49,55.13,55.58,25915877,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-12,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,55.73,57.69,55.62,56.64,18677793,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-13,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,56.96,56.96,55.18,55.51,17862776,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-14,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,55.51,55.96,54.53,55.09,14290302,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-17,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,55.13,55.29,54.27,54.62,10272065,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-18,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,54.16,55.29,51.78,54.8,22356684,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-19,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,55.33,56.29,53.18,54.04,18437027,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-20,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,53.78,55.6,53.47,54.64,15792188,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-24,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,54.0,54.0,50.64,50.93,18533483,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-25,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,50.67,52.78,50.11,51.91,24219764,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-26,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,50.22,51.02,49.2,49.44,29834639,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-27,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,49.31,49.31,47.36,48.49,34039601,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-02-28,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,46.0,47.02,45.18,46.07,60967157,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-02,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,47.02,48.29,43.82,44.96,58825400,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-03,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,46.22,47.93,45.49,47.2,27876914,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-04,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,46.8,47.02,43.73,44.71,55016918,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-05,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,45.33,45.67,43.33,44.64,58137812,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-06,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,42.42,43.91,41.64,43.38,21290607,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-09,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,42.18,43.13,40.13,40.62,26531760,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-11,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,39.78,41.16,39.24,39.89,30687659,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-12,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,38.16,38.16,29.69,30.18,153855347,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-13,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,27.18,34.62,22.64,28.38,102465215,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-16,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,28.22,30.78,26.22,29.67,76064957,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-17,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,29.8,30.22,26.76,27.0,41005935,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-18,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,27.69,28.33,26.29,27.38,39982440,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-19,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,27.11,29.24,25.93,28.51,50644128,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-20,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,28.49,30.87,27.82,29.64,42985566,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-23,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,27.56,28.42,23.73,23.73,18885776,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-24,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,23.51,26.58,21.62,24.82,31882823,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-25,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,24.89,27.2,24.44,26.93,21863601,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-26,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,27.13,29.18,26.22,28.51,30450081,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-27,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,29.78,30.6,27.78,28.07,22616514,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-30,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,27.11,27.84,25.91,26.98,14090711,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-03-31,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,27.76,27.89,26.58,27.13,18887441,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-01,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,26.89,27.47,25.42,25.76,20549336,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-03,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,25.98,25.98,24.09,24.31,18791636,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-07,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,25.38,25.8,24.73,25.09,32007365,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-08,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,25.07,27.33,24.09,24.98,68705189,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-09,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,25.78,29.91,25.42,29.36,73463940,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-13,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,29.67,29.87,27.62,28.07,29633390,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-15,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,28.89,33.24,28.78,31.62,105087245,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-16,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,31.78,37.29,31.42,36.22,112861344,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-17,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,38.67,39.84,36.22,38.58,151055414,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-20,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,39.11,39.29,37.2,37.64,62309024,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-21,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,35.53,35.53,31.67,31.98,87739617,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-22,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,32.0,33.24,31.4,32.51,59881338,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-23,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,32.8,33.93,32.49,32.71,33217434,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-24,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,32.18,33.0,31.71,32.0,24104142,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-27,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,32.38,35.2,32.38,34.13,83960249,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-28,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,34.6,36.02,33.84,34.8,58772285,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-29,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,35.53,38.27,35.44,36.18,182905896,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-04-30,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,38.0,40.89,37.91,38.91,123393126,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-04,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,36.8,36.84,33.91,34.04,59641142,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-05,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,35.31,35.49,32.84,32.98,56911350,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-06,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,33.16,34.58,32.0,34.09,50084423,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-07,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,33.91,34.49,33.2,33.36,27043982,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-08,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,34.47,35.0,34.04,34.22,51440700,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-11,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,34.89,37.78,34.71,35.76,123078455,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-12,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,35.87,36.84,34.53,36.47,60315723,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-13,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,38.93,39.02,37.2,37.49,52173765,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-14,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,36.22,37.4,35.2,35.53,31799969,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-15,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,35.82,36.93,35.16,36.53,43030184,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-18,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,36.53,36.6,34.27,34.6,32804699,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-19,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,35.44,35.82,34.76,35.16,31894412,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-20,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,35.31,36.98,34.98,36.44,19114712,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-21,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,36.44,37.11,36.02,36.33,24284213,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-22,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,36.0,36.33,34.84,35.2,18097973,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-26,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,35.56,37.91,35.42,37.6,50975202,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-27,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,38.0,38.62,37.07,38.49,45531009,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-28,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,38.56,42.22,38.56,41.07,168554714,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-05-29,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,40.0,43.98,39.49,42.36,75844818,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-01,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,42.8,43.89,42.49,42.93,50726735,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-02,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,43.42,47.02,41.87,45.31,187941560,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-03,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,46.67,46.67,44.2,44.84,78425919,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-04,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,44.62,45.33,43.67,45.02,42102095,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-05,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,45.73,46.67,45.22,46.22,33322337,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-08,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,46.8,47.2,43.82,44.11,70406531,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-09,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,44.22,44.42,42.49,44.02,53190234,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-10,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,43.56,43.56,41.62,42.07,56166570,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-11,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,42.07,42.84,41.33,41.58,27652901,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-12,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,38.33,42.51,38.33,42.2,43052408,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-15,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,42.2,42.2,40.11,40.62,22794159,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-16,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,41.78,42.51,40.0,40.82,34948781,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-17,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,40.82,44.24,40.09,43.18,97349193,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-18,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,43.11,43.71,42.73,43.0,26989623,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-19,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,44.0,44.04,42.67,43.27,44740722,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-22,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,43.56,44.31,43.11,43.22,30063173,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-23,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,43.47,45.33,43.24,44.36,48158576,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-24,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,44.93,45.07,42.36,42.53,38518632,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-25,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,42.18,43.11,41.47,42.69,19330779,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-26,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,43.22,43.67,42.58,42.67,16644135,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-29,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,42.44,42.71,41.18,42.36,22220244,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-06-30,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,42.76,43.87,41.93,42.07,25102250,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-01,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,42.22,43.4,41.71,43.16,26457287,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-02,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,43.53,46.36,43.4,46.07,98812449,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-03,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,44.18,44.71,41.87,43.6,202401243,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-06,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,44.0,45.27,43.56,44.04,54345335,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-07,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,44.04,44.04,43.0,43.87,35732168,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-08,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,43.87,44.11,42.8,42.93,20922944,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-09,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,43.13,43.69,42.84,43.4,21524504,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-10,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,43.53,44.0,42.11,42.76,26482949,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-13,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,43.22,43.67,42.44,42.71,22940780,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-14,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,42.0,42.33,41.09,41.73,19513920,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-15,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,42.0,43.18,41.56,41.82,22043411,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-16,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,41.91,42.11,40.69,41.04,23288783,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-17,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,41.24,41.87,40.62,41.49,23463350,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-20,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,41.87,42.02,41.4,41.91,14620098,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-21,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,42.18,43.47,41.71,43.16,36198300,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-22,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,43.33,43.44,42.0,42.51,17032886,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-23,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,42.49,43.2,42.13,43.0,18441968,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-24,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,42.67,43.62,42.13,42.42,24096720,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-27,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,42.58,42.67,41.0,41.36,24021815,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-28,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,41.47,42.11,41.29,41.73,14111420,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-29,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,41.82,42.13,40.91,41.11,19084530,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-30,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,41.11,41.84,40.76,41.62,25106912,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-07-31,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,41.64,42.44,41.07,42.18,17639499,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-08-03,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,42.44,43.91,42.33,43.42,40985712,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-08-04,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,43.64,44.44,43.42,44.02,32524817,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-08-05,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,44.29,45.16,43.76,44.62,39745656,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-08-06,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,44.84,45.22,44.0,44.42,20354004,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-08-07,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,44.11,44.93,43.44,44.36,23599979,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-08-10,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,44.4,48.11,44.24,46.62,88591463,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-08-11,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,47.11,48.58,45.0,47.84,120496863,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-08-12,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,46.73,52.62,46.51,51.89,150746444,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-08-13,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,51.89,54.49,50.82,53.64,81280421,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-08-14,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,53.56,54.36,52.56,53.33,43152795,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-08-17,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,52.89,57.02,52.64,56.47,81876105,FYERS_HISTORY,2026-08-08T23:41:30+05:30
2020-08-18,SMD-0155,MOTHERSON,NSE:MOTHERSON-EQ,56.51,56.96,55.56,56.16,31144055,FYERS_HISTORY,2026-08-08T23:41:30+05:30
