trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2000-01-03,SMD-0053,CIPLA,NSE:CIPLA-EQ,112.8,116.59,110.4,116.59,21060,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-04,SMD-0053,CIPLA,NSE:CIPLA-EQ,122.96,122.96,114.4,117.22,30215,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-05,SMD-0053,CIPLA,NSE:CIPLA-EQ,117.92,117.92,109.2,114.8,33799,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-06,SMD-0053,CIPLA,NSE:CIPLA-EQ,114.72,114.8,107.92,108.47,33083,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-07,SMD-0053,CIPLA,NSE:CIPLA-EQ,109.6,111.19,99.79,99.8,66536,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-10,SMD-0053,CIPLA,NSE:CIPLA-EQ,103.04,103.92,95.28,96.47,105912,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-11,SMD-0053,CIPLA,NSE:CIPLA-EQ,98.0,98.0,88.76,89.14,186975,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-12,SMD-0053,CIPLA,NSE:CIPLA-EQ,94.8,96.27,94.8,96.27,7416,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-13,SMD-0053,CIPLA,NSE:CIPLA-EQ,103.98,103.98,102.5,103.76,90379,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-14,SMD-0053,CIPLA,NSE:CIPLA-EQ,103.92,104.36,97.6,102.46,70729,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-17,SMD-0053,CIPLA,NSE:CIPLA-EQ,106.8,107.2,100.01,101.6,54938,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-18,SMD-0053,CIPLA,NSE:CIPLA-EQ,103.52,103.52,96.0,97.61,51691,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-19,SMD-0053,CIPLA,NSE:CIPLA-EQ,94.0,97.59,90.56,96.31,132669,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-20,SMD-0053,CIPLA,NSE:CIPLA-EQ,96.4,97.84,96.08,96.7,44602,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-21,SMD-0053,CIPLA,NSE:CIPLA-EQ,96.8,96.8,92.8,96.09,43168,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-24,SMD-0053,CIPLA,NSE:CIPLA-EQ,97.44,97.91,94.8,96.96,67930,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-25,SMD-0053,CIPLA,NSE:CIPLA-EQ,95.6,96.64,94.08,95.54,65851,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-27,SMD-0053,CIPLA,NSE:CIPLA-EQ,98.0,98.0,94.8,95.22,33549,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-28,SMD-0053,CIPLA,NSE:CIPLA-EQ,96.8,97.2,93.68,94.7,25834,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-01-31,SMD-0053,CIPLA,NSE:CIPLA-EQ,92.96,94.79,92.4,93.85,30473,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-02-01,SMD-0053,CIPLA,NSE:CIPLA-EQ,94.8,98.56,92.8,97.56,57336,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-02-02,SMD-0053,CIPLA,NSE:CIPLA-EQ,99.92,103.6,99.2,101.67,67545,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-02-03,SMD-0053,CIPLA,NSE:CIPLA-EQ,103.12,103.92,98.8,99.47,29108,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-02-04,SMD-0053,CIPLA,NSE:CIPLA-EQ,99.6,100.0,95.69,97.29,30288,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-02-07,SMD-0053,CIPLA,NSE:CIPLA-EQ,97.6,99.6,95.6,97.66,79074,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-02-08,SMD-0053,CIPLA,NSE:CIPLA-EQ,96.08,98.76,94.82,96.45,67366,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-02-09,SMD-0053,CIPLA,NSE:CIPLA-EQ,98.8,101.2,96.88,97.45,28941,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-02-10,SMD-0053,CIPLA,NSE:CIPLA-EQ,96.0,96.96,94.8,95.81,28527,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-02-11,SMD-0053,CIPLA,NSE:CIPLA-EQ,96.0,96.0,92.0,93.25,22600,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-02-14,SMD-0053,CIPLA,NSE:CIPLA-EQ,92.4,93.52,88.0,92.2,56818,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-02-15,SMD-0053,CIPLA,NSE:CIPLA-EQ,90.48,92.72,89.6,92.14,36573,FYERS_HISTORY,2026-08-08T23:07:24+05:30
2000-02-16,SMD-0053,CIPLA,NSE:CIPLA-EQ,93.2,94.4,92.0,93.18,12340,FYERS_HISTORY,2026-08-08T23:07:24+05:30
