trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2006-11-21,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,22.55,31.19,22.55,29.63,57994635,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-11-22,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,30.75,30.75,27.5,29.33,25199285,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-11-23,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,29.7,31.4,29.61,30.71,23262670,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-11-24,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,31.0,31.01,28.76,29.19,10496840,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-11-27,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,29.24,30.69,28.25,30.12,14283410,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-11-28,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,29.5,30.1,29.0,29.83,7222265,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-11-29,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,30.25,31.65,30.22,30.96,17209510,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-11-30,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,31.1,32.18,30.6,31.55,11865745,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-01,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,31.65,32.35,31.45,31.71,5392770,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-04,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,31.5,31.9,29.9,30.13,3127005,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-05,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,30.25,30.8,29.62,29.91,4728420,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-06,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,30.12,30.74,29.31,29.59,3921655,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-07,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,29.75,30.35,29.3,30.0,4135945,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-08,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,30.22,30.24,28.91,29.15,2192005,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-11,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,29.33,29.33,26.57,28.04,2643495,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-12,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,28.0,28.39,25.25,26.77,2931040,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-13,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,27.2,27.5,25.4,26.58,2051220,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-14,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,27.07,27.47,26.75,27.14,1101055,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-15,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,27.45,29.15,27.33,28.89,3339125,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-18,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,29.2,29.2,27.35,28.28,3259090,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-19,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,28.0,28.39,27.51,28.09,1386445,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-20,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,28.34,29.6,27.85,28.89,2605145,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-21,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,28.65,30.23,28.08,29.44,3584090,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-22,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,29.4,30.9,29.4,29.78,3195400,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-26,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,29.99,30.64,29.54,29.67,1331910,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-27,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,29.95,30.25,29.25,29.42,875370,FYERS_HISTORY,2026-08-08T23:42:53+05:30
2006-12-28,SMD-0161,NAUKRI,NSE:NAUKRI-EQ,29.72,29.72,28.33,28.6,964900,FYERS_HISTORY,2026-08-08T23:42:53+05:30
